decile_score,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree,jail_time
1,0,0,0,12,23.633333333333333
1,0,0,0,12,23.633333333333333
3,0,0,0,12,241.85
4,0,0,1,12,26.066666666666666
4,0,0,1,12,26.066666666666666
4,0,0,1,12,26.066666666666666
4,0,0,1,12,26.066666666666666
4,0,0,1,12,26.066666666666666
1,0,0,0,6,31.633333333333333
6,0,0,0,12,151.16666666666666
6,0,0,0,12,151.16666666666666
4,0,0,0,12,23.783333333333335
4,0,0,0,12,23.783333333333335
4,0,0,0,12,23.783333333333335
1,0,0,0,6,70.88333333333334
10,0,0,1,12,795.9833333333333
10,0,0,1,12,795.9833333333333
10,0,0,1,12,795.9833333333333
5,0,0,0,12,30.066666666666666
5,0,0,0,12,30.066666666666666
5,0,0,0,12,30.066666666666666
3,0,0,0,13,23.716666666666665
4,0,0,0,12,25.916666666666668
6,0,0,0,6,100.16666666666667
1,0,0,0,6,21.733333333333334
3,0,0,0,6,6.466666666666667
4,0,0,0,12,14.383333333333333
1,0,0,0,12,342.3
1,0,0,0,12,342.3
3,0,0,0,12,74.78333333333333
3,0,0,0,12,74.78333333333333
1,0,0,0,6,5.816666666666666
10,0,0,0,12,27.483333333333334
10,0,0,0,12,27.483333333333334
5,0,0,0,12,25.266666666666666
3,0,0,0,12,27.333333333333332
3,0,0,0,12,27.333333333333332
3,0,0,0,12,27.333333333333332
6,0,0,0,12,26.65
6,0,0,0,12,26.65
6,0,0,0,12,26.65
9,0,0,0,12,74.65
9,0,0,0,12,74.65
9,0,0,0,12,74.65
9,0,0,0,12,74.65
9,0,0,0,12,74.65
9,0,0,0,12,74.65
2,0,0,0,6,6.95
4,0,0,0,12,27.683333333333334
-1,0,0,0,12,25.416666666666668
-1,0,0,0,12,25.416666666666668
-1,0,0,0,12,25.416666666666668
-1,0,0,0,12,25.416666666666668
-1,0,0,0,12,25.416666666666668
4,0,0,0,12,23.883333333333333
3,0,0,0,14,2513.8
1,0,0,0,5,29.483333333333334
3,0,0,0,6,42.916666666666664
9,0,0,0,12,2662.4333333333334
6,0,0,0,5,4.566666666666666
3,0,0,0,12,408.01666666666665
3,0,0,0,12,408.01666666666665
3,0,0,0,12,408.01666666666665
3,0,0,0,12,408.01666666666665
3,0,0,0,12,19.766666666666666
3,0,0,0,12,19.766666666666666
7,0,0,1,12,22.766666666666666
7,0,0,1,12,22.766666666666666
7,0,0,1,12,22.766666666666666
10,0,0,0,12,906.9833333333333
10,0,0,0,12,906.9833333333333
9,0,0,0,12,1061.0666666666666
9,0,0,0,12,1061.0666666666666
8,0,0,0,12,25.816666666666666
8,0,0,0,12,25.816666666666666
1,0,0,0,6,44.333333333333336
3,0,0,0,12,0.8166666666666667
1,0,0,0,12,51.86666666666667
10,0,0,0,12,2212.75
3,0,0,2,12,3977.15
3,0,0,2,12,3977.15
3,0,0,2,12,3977.15
5,0,0,0,12,140.75
5,0,0,0,12,140.75
3,0,0,0,12,94.11666666666666
3,0,0,0,12,94.11666666666666
3,0,0,0,12,94.11666666666666
8,0,0,2,5,290.95
8,0,0,2,5,290.95
8,0,0,2,5,290.95
5,0,0,0,6,267.6166666666667
5,0,0,0,6,267.6166666666667
5,0,0,0,6,267.6166666666667
5,0,0,0,6,267.6166666666667
2,0,0,0,6,27.05
2,0,0,0,6,27.05
9,2,1,3,13,799.2333333333333
9,2,1,3,13,799.2333333333333
9,2,1,3,13,799.2333333333333
9,2,1,3,13,799.2333333333333
2,0,0,0,6,-5.916666666666667
8,0,0,0,13,1913.8833333333334
8,0,0,0,13,1913.8833333333334
8,0,0,0,13,1913.8833333333334
8,0,0,0,13,1913.8833333333334
1,0,0,0,6,27.283333333333335
2,0,0,0,6,17.016666666666666
2,0,0,0,6,17.016666666666666
6,0,0,0,13,6520.35
6,0,0,0,13,6520.35
2,0,0,0,12,40.1
2,0,0,0,12,40.1
7,0,0,0,12,26.1
9,0,0,0,6,4736.35
9,0,0,0,6,4736.35
7,0,0,0,12,4.7
7,0,0,0,12,4.7
7,0,0,0,12,4.7
1,0,0,0,6,44.25
10,0,0,0,6,167.16666666666666
8,1,0,4,12,21.7
1,0,0,0,6,3.8
3,0,0,0,5,1229.7833333333333
4,0,0,0,12,3.8666666666666667
2,0,0,0,12,2.4166666666666665
2,0,0,0,12,2.4166666666666665
2,0,0,0,12,22.333333333333332
2,0,0,0,12,598.3166666666667
3,0,0,0,12,5.383333333333334
6,0,0,0,12,255.45
6,0,0,0,12,255.45
6,0,0,0,12,255.45
9,0,0,0,12,21.716666666666665
9,0,0,0,12,21.716666666666665
1,0,0,0,14,196.45
6,0,0,1,12,38.65
5,0,0,1,13,3263.35
4,0,0,0,12,44.95
4,0,0,0,12,44.95
4,0,0,0,12,44.95
5,0,0,0,12,22.55
8,0,0,0,12,25.733333333333334
7,0,0,0,6,558.4333333333333
1,0,0,0,6,21.683333333333334
5,0,0,0,12,313.5
1,0,0,0,6,4.633333333333334
3,0,0,0,12,23.333333333333332
7,0,0,0,6,860.05
1,0,0,0,13,17.766666666666666
10,1,1,2,12,27.666666666666668
10,1,1,2,12,27.666666666666668
10,1,1,2,12,27.666666666666668
2,0,0,0,6,47.1
6,3,1,0,12,45.06666666666667
6,3,1,0,12,45.06666666666667
4,0,0,1,12,24.916666666666668
1,0,0,0,6,5.433333333333334
10,0,1,2,12,2980.883333333333
10,0,1,2,12,2980.883333333333
10,0,1,2,12,2980.883333333333
9,0,0,0,12,455.03333333333336
9,0,0,0,12,455.03333333333336
9,0,0,0,12,455.03333333333336
9,0,0,0,12,455.03333333333336
1,0,0,0,5,-2.8666666666666667
6,0,1,0,13,722.8
6,0,1,0,13,722.8
6,0,1,0,13,722.8
1,0,0,0,6,32.78333333333333
1,0,0,0,6,76.78333333333333
1,0,0,0,12,5807.133333333333
1,0,0,0,12,5807.133333333333
4,0,0,0,12,25.366666666666667
3,0,0,0,12,20.266666666666666
4,0,0,0,12,10057.816666666668
4,0,0,0,6,117.61666666666666
6,0,1,0,6,20.933333333333334
6,0,0,0,12,27.116666666666667
6,0,0,0,12,27.116666666666667
6,0,0,0,12,27.116666666666667
6,0,0,0,12,27.116666666666667
6,0,0,0,12,27.116666666666667
6,0,0,1,12,342.01666666666665
6,0,0,1,12,342.01666666666665
6,0,0,1,12,342.01666666666665
6,0,0,1,12,342.01666666666665
4,0,0,0,5,-1.2166666666666666
2,0,0,0,12,76.51666666666667
1,0,0,0,12,1343.8666666666666
1,0,0,0,12,1343.8666666666666
3,0,0,0,6,403.95
3,0,0,0,6,403.95
3,0,0,0,6,403.95
8,0,0,0,12,1390.1333333333334
8,0,0,0,12,1390.1333333333334
8,0,0,0,12,1390.1333333333334
8,0,0,0,12,1390.1333333333334
8,0,0,0,12,1390.1333333333334
4,0,0,0,13,48.1
7,0,0,0,9,464.5833333333333
1,0,0,0,6,1673.25
2,0,0,0,12,27.583333333333332
2,0,0,0,5,40.166666666666664
1,0,0,0,6,13.483333333333333
10,0,0,0,6,29.55
10,0,0,0,6,29.55
10,0,0,0,6,29.55
9,0,0,0,(MO3),26.233333333333334
5,0,0,0,12,217.48333333333332
6,0,0,0,12,-3.7
1,0,0,0,12,19.766666666666666
1,0,0,0,12,19.766666666666666
10,1,6,1,13,171.41666666666666
10,1,6,1,13,171.41666666666666
10,1,6,1,13,171.41666666666666
10,1,6,1,13,171.41666666666666
10,1,6,1,13,171.41666666666666
5,0,0,0,12,26.416666666666668
9,1,0,0,12,722.0
9,1,0,0,12,722.0
9,1,0,0,12,722.0
7,0,0,1,5,17.233333333333334
7,0,0,1,5,17.233333333333334
6,0,0,0,14,2537.2
6,0,0,0,14,2537.2
5,0,0,0,12,16.783333333333335
5,0,0,0,12,16.783333333333335
7,0,0,0,13,4346.433333333333
7,0,0,0,13,4346.433333333333
2,0,0,0,5,20.283333333333335
7,0,0,0,13,88.03333333333333
7,0,0,0,13,88.03333333333333
8,0,0,0,12,2.5833333333333335
8,0,0,0,12,2.5833333333333335
8,0,0,0,12,2.5833333333333335
6,0,0,0,12,94.1
6,0,0,0,12,94.1
6,0,0,0,12,94.1
6,0,0,0,12,94.1
6,0,0,0,12,94.1
